iter	Passed	Remaining
0	156	156786
1	157	78580
2	157	52496
3	158	39455
4	159	31650
5	159	26453
6	160	22730
7	160	19911
8	161	17730
9	161	15983
10	161	14541
11	162	13341
12	162	12336
13	162	11478
14	163	10723
15	163	10071
16	164	9496
17	164	8986
18	164	8518
19	165	8111
20	165	7735
21	166	7392
22	166	7079
23	167	6793
24	167	6531
25	167	6289
26	168	6066
27	168	5857
28	169	5662
29	169	5480
30	169	5310
31	170	5151
32	170	5002
33	170	4857
34	171	4723
35	171	4597
36	172	4479
37	172	4367
38	172	4262
39	173	4159
40	173	4064
41	174	3973
42	174	3885
43	174	3802
44	175	3722
45	175	3642
46	175	3567
47	176	3498
48	176	3431
49	177	3365
50	177	3306
51	178	3245
52	178	3188
53	178	3132
54	179	3079
55	179	3027
56	179	2977
57	180	2929
58	180	2883
59	181	2838
60	181	2793
61	181	2751
62	182	2710
63	182	2670
64	182	2630
65	183	2593
66	183	2557
67	184	2522
68	184	2487
69	184	2455
70	185	2423
71	185	2392
72	186	2362
73	186	2332
74	186	2303
75	187	2276
76	187	2250
77	188	2226
78	189	2203
79	189	2184
80	190	2161
81	191	2142
82	191	2119
83	192	2102
84	193	2081
85	194	2063
86	194	2043
87	195	2024
88	195	2003
89	196	1984
90	196	1964
91	196	1943
92	197	1923
93	197	1904
94	197	1885
95	198	1865
96	198	1848
97	198	1830
98	199	1812
99	199	1795
100	199	1777
101	200	1761
102	200	1745
103	200	1729
104	201	1713
105	201	1698
106	201	1682
107	201	1668
108	202	1653
109	202	1638
110	202	1624
111	203	1611
112	203	1598
113	203	1585
114	204	1572
115	204	1559
116	205	1547
117	205	1534
118	205	1522
119	205	1510
120	206	1498
121	206	1486
122	206	1475
123	207	1464
124	207	1453
125	207	1442
126	208	1431
127	208	1420
128	208	1410
129	209	1400
130	209	1390
131	209	1380
132	210	1370
133	210	1360
134	210	1351
135	211	1342
136	211	1332
137	211	1323
138	212	1314
139	212	1305
140	212	1297
141	213	1288
142	213	1279
143	213	1271
144	214	1262
145	214	1254
146	214	1246
147	215	1238
148	215	1230
149	215	1222
150	216	1214
151	216	1207
152	216	1199
153	217	1193
154	217	1185
155	218	1180
156	218	1174
157	219	1168
158	219	1161
159	219	1154
160	220	1146
161	220	1139
162	220	1133
163	221	1126
164	221	1119
165	221	1113
166	221	1106
167	222	1100
168	222	1094
169	222	1087
170	223	1081
171	223	1075
172	223	1069
173	224	1063
174	224	1057
175	224	1052
176	224	1046
177	225	1039
178	225	1034
179	225	1028
180	226	1023
181	226	1017
182	226	1012
183	227	1007
184	227	1001
185	227	996
186	228	991
187	228	986
188	228	980
189	228	975
190	229	970
191	229	965
192	229	960
193	231	960
194	231	955
195	232	951
196	232	947
197	232	943
198	233	938
199	233	933
200	233	929
201	234	924
202	234	920
203	234	915
204	235	911
205	235	907
206	235	902
207	235	897
208	236	893
209	236	889
210	236	885
211	237	881
212	237	877
213	237	872
214	237	868
215	238	864
216	238	860
217	238	856
218	239	852
219	239	848
220	239	845
221	240	841
222	240	837
223	240	833
224	241	830
225	241	826
226	241	822
227	241	819
228	242	815
229	242	812
230	242	808
231	243	805
232	243	801
233	244	800
234	245	797
235	245	794
236	245	790
237	245	787
238	246	784
239	246	780
240	246	777
241	247	773
242	247	770
243	247	767
244	247	764
245	248	761
246	248	757
247	248	754
248	249	751
249	249	748
250	249	745
251	250	742
252	250	740
253	251	737
254	251	734
255	251	731
256	252	728
257	252	726
258	252	723
259	253	720
260	253	717
261	253	714
262	254	712
263	254	709
264	254	706
265	254	703
266	255	700
267	255	698
268	255	695
269	256	693
270	256	690
271	257	688
272	258	688
273	258	686
274	259	683
275	259	681
276	260	678
277	260	676
278	260	673
279	261	671
280	261	669
281	261	666
282	262	664
283	262	661
284	262	659
285	263	657
286	263	654
287	263	652
288	264	649
289	264	647
290	264	645
291	265	643
292	265	640
293	265	638
294	266	636
295	266	634
296	266	631
297	267	629
298	267	627
299	267	625
300	268	622
301	268	620
302	268	618
303	269	616
304	269	614
305	269	612
306	270	609
307	270	607
308	270	605
309	271	605
310	272	603
311	272	601
312	272	599
313	273	597
314	273	594
315	273	593
316	274	591
317	274	588
318	274	586
319	275	584
320	275	582
321	275	580
322	276	578
323	276	577
324	276	575
325	277	573
326	277	571
327	277	569
328	278	567
329	278	565
330	278	563
331	279	561
332	279	559
333	279	557
334	280	555
335	280	554
336	280	552
337	280	550
338	281	548
339	281	546
340	281	544
341	282	542
342	282	541
343	282	539
344	283	537
345	283	535
346	283	534
347	284	532
348	285	532
349	286	531
350	286	529
351	286	528
352	287	526
353	287	524
354	287	523
355	288	521
356	288	519
357	288	517
358	289	516
359	289	514
360	289	512
361	290	511
362	290	509
363	290	507
364	290	506
365	291	504
366	291	503
367	291	501
368	292	499
369	292	498
370	292	496
371	293	494
372	293	493
373	293	491
374	294	490
375	294	488
376	294	486
377	294	485
378	295	483
379	295	482
380	295	480
381	296	479
382	296	477
383	296	476
384	297	474
385	297	473
386	297	471
387	299	472
388	299	470
389	300	469
390	300	467
391	300	466
392	300	464
393	301	463
394	301	461
395	301	460
396	302	459
397	302	457
398	302	456
399	303	454
400	303	453
401	303	451
402	304	450
403	304	449
404	304	447
405	305	446
406	305	444
407	305	443
408	305	442
409	306	440
410	306	439
411	306	437
412	307	436
413	307	435
414	307	433
415	308	432
416	308	431
417	308	429
418	308	428
419	309	427
420	309	425
421	309	424
422	310	423
423	310	421
424	310	420
425	311	419
426	311	418
427	312	417
428	313	416
429	313	415
430	313	414
431	314	413
432	314	411
433	314	410
434	315	409
435	315	407
436	315	406
437	316	405
438	316	404
439	316	402
440	316	401
441	317	400
442	317	399
443	317	398
444	318	396
445	318	395
446	318	394
447	319	393
448	319	391
449	319	390
450	320	389
451	320	388
452	320	387
453	320	385
454	321	384
455	321	383
456	321	382
457	322	381
458	322	380
459	322	378
460	323	377
461	323	376
462	323	375
463	324	374
464	324	373
465	324	372
466	324	370
467	325	369
468	326	369
469	326	368
470	327	367
471	327	366
472	327	365
473	328	364
474	328	363
475	328	362
476	329	360
477	329	359
478	329	358
479	330	357
480	330	356
481	330	355
482	331	354
483	331	353
484	331	352
485	332	351
486	332	350
487	332	348
488	332	347
489	333	346
490	333	345
491	333	344
492	334	343
493	334	342
494	334	341
495	335	340
496	335	339
497	335	338
498	336	337
499	336	336
500	336	335
501	336	334
502	337	333
503	337	332
504	337	331
505	338	330
506	338	329
507	339	329
508	340	328
509	340	327
510	341	326
511	341	325
512	341	324
513	342	323
514	342	322
515	342	321
516	343	320
517	343	319
518	343	318
519	343	317
520	344	316
521	344	315
522	344	314
523	345	313
524	345	312
525	345	311
526	346	310
527	346	309
528	346	308
529	347	307
530	347	306
531	347	305
532	347	304
533	348	303
534	348	302
535	348	302
536	349	301
537	349	300
538	349	299
539	350	298
540	350	297
541	350	296
542	351	295
543	351	294
544	351	293
545	352	292
546	354	293
547	354	292
548	355	291
549	355	290
550	355	289
551	356	289
552	356	288
553	356	287
554	357	286
555	357	285
556	358	284
557	358	283
558	358	283
559	359	282
560	359	281
561	360	280
562	360	279
563	360	278
564	361	278
565	361	277
566	362	276
567	362	275
568	362	274
569	362	273
570	363	272
571	363	272
572	363	271
573	364	270
574	364	269
575	364	268
576	365	267
577	365	266
578	365	265
579	366	265
580	367	264
581	367	264
582	368	263
583	368	262
584	368	261
585	369	260
586	369	259
587	369	259
588	370	258
589	370	257
590	370	256
591	370	255
592	371	254
593	371	253
594	371	253
595	372	252
596	372	251
597	372	250
598	373	249
599	373	248
600	373	248
601	374	247
602	374	246
603	374	245
604	374	244
605	375	243
606	375	243
607	375	242
608	376	241
609	376	240
610	376	239
611	377	239
612	377	238
613	377	237
614	378	237
615	378	236
616	379	235
617	379	234
618	380	234
619	381	233
620	381	232
621	381	232
622	382	231
623	382	230
624	382	229
625	383	228
626	383	228
627	383	227
628	384	226
629	384	225
630	384	224
631	385	224
632	385	223
633	385	222
634	386	221
635	386	221
636	386	220
637	386	219
638	387	218
639	387	218
640	387	217
641	388	216
642	388	215
643	388	214
644	389	214
645	389	213
646	389	212
647	390	211
648	390	211
649	390	210
650	390	209
651	391	208
652	391	208
653	391	207
654	392	206
655	392	205
656	392	205
657	393	204
658	394	204
659	395	203
660	395	202
661	395	202
662	396	201
663	396	200
664	396	199
665	397	199
666	397	198
667	397	197
668	398	196
669	398	196
670	398	195
671	399	194
672	399	194
673	399	193
674	399	192
675	400	191
676	400	191
677	400	190
678	401	189
679	401	188
680	401	188
681	402	187
682	402	186
683	402	186
684	403	185
685	403	184
686	403	183
687	403	183
688	404	182
689	404	181
690	405	181
691	405	180
692	405	179
693	406	179
694	406	178
695	406	177
696	406	176
697	408	176
698	408	176
699	409	175
700	409	174
701	409	173
702	410	173
703	410	172
704	410	171
705	410	171
706	411	170
707	411	169
708	411	169
709	412	168
710	412	167
711	412	167
712	413	166
713	413	165
714	413	164
715	414	164
716	414	163
717	414	162
718	415	162
719	415	161
720	415	160
721	416	160
722	416	159
723	416	158
724	416	158
725	417	157
726	417	156
727	417	156
728	418	155
729	418	154
730	418	154
731	419	153
732	419	152
733	419	152
734	420	151
735	420	150
736	421	150
737	422	149
738	422	149
739	422	148
740	423	147
741	423	147
742	423	146
743	423	145
744	424	145
745	424	144
746	424	143
747	425	143
748	425	142
749	425	141
750	426	141
751	426	140
752	426	140
753	427	139
754	427	138
755	427	138
756	428	137
757	428	136
758	428	136
759	429	135
760	429	134
761	429	134
762	430	133
763	430	132
764	430	132
765	431	131
766	431	131
767	431	130
768	431	129
769	432	129
770	432	128
771	432	127
772	433	127
773	433	126
774	433	125
775	435	125
776	435	125
777	436	124
778	436	123
779	436	123
780	437	122
781	437	121
782	437	121
783	438	120
784	438	120
785	438	119
786	439	118
787	439	118
788	439	117
789	440	117
790	440	116
791	441	115
792	441	115
793	442	114
794	442	114
795	443	113
796	444	113
797	445	112
798	446	112
799	446	111
800	449	111
801	450	111
802	451	110
803	452	110
804	453	109
805	454	109
806	455	108
807	455	108
808	456	107
809	457	107
810	458	106
811	458	106
812	459	105
813	460	105
814	460	104
815	461	104
816	462	103
817	462	102
818	462	102
819	463	101
820	464	101
821	464	100
822	465	100
823	465	99
824	465	98
825	466	98
826	466	97
827	467	97
828	467	96
829	468	95
830	469	95
831	469	94
832	470	94
833	471	93
834	472	93
835	473	92
836	474	92
837	474	91
838	476	91
839	476	90
840	476	90
841	477	89
842	478	89
843	478	88
844	478	87
845	479	87
846	480	86
847	480	86
848	481	85
849	481	85
850	482	84
851	483	83
852	483	83
853	484	82
854	484	82
855	485	81
856	485	81
857	486	80
858	486	79
859	486	79
860	487	78
861	487	78
862	488	77
863	489	76
864	489	76
865	490	75
866	490	75
867	490	74
868	491	74
869	491	73
870	492	72
871	492	72
872	492	71
873	493	71
874	493	70
875	493	69
876	494	69
877	494	68
878	495	68
879	495	67
880	495	66
881	496	66
882	496	65
883	497	65
884	497	64
885	497	64
886	498	63
887	498	62
888	499	62
889	499	61
890	499	61
891	500	60
892	500	59
893	501	59
894	501	58
895	502	58
896	502	57
897	502	57
898	503	56
899	503	55
900	503	55
901	504	54
902	504	54
903	505	53
904	505	53
905	505	52
906	505	51
907	506	51
908	506	50
909	506	50
910	507	49
911	507	48
912	508	48
913	509	47
914	509	47
915	510	46
916	510	46
917	510	45
918	511	45
919	511	44
920	511	43
921	512	43
922	512	42
923	512	42
924	513	41
925	513	41
926	514	40
927	514	39
928	514	39
929	515	38
930	516	38
931	517	37
932	518	37
933	518	36
934	519	36
935	519	35
936	520	34
937	520	34
938	520	33
939	521	33
940	521	32
941	521	32
942	522	31
943	522	30
944	522	30
945	523	29
946	523	29
947	523	28
948	524	28
949	524	27
950	524	27
951	525	26
952	525	25
953	525	25
954	525	24
955	526	24
956	526	23
957	526	23
958	527	22
959	527	21
960	527	21
961	528	20
962	528	20
963	529	19
964	529	19
965	529	18
966	530	18
967	530	17
968	530	16
969	531	16
970	531	15
971	531	15
972	532	14
973	532	14
974	532	13
975	532	13
976	533	12
977	533	12
978	533	11
979	534	10
980	534	10
981	534	9
982	535	9
983	535	8
984	535	8
985	536	7
986	536	7
987	537	6
988	537	5
989	537	5
990	538	4
991	538	4
992	538	3
993	539	3
994	539	2
995	539	2
996	540	1
997	540	1
998	540	0
999	541	0
